Total,Afrikaans,Black African,Coloured,English,Female,Indian or Asian,Male,Sepedi,Sesotho,Setswana,SiSwati,Sign language,Tshivenda,White,Xitsonga,isiNdebele,isiXhosa,isiZulu,locID
300,54,186,17,539,474,95,371,14,19,17,0,0,1,526,2,15,7,38,Dainfern Ridge
458,73,368,19,892,686,69,631,35,10,29,1,0,2,796,13,12,36,59,Dainfern Valley Estate
902,44,870,19,95,427,11,592,58,66,59,7,1,31,95,28,96,47,216,Diepsloot AH
10186,96,10127,52,140,4472,5,6066,1913,618,817,119,11,1314,5,1725,935,642,1795,Diepsloot SP
22317,105,22256,43,873,10349,16,12253,3461,1108,2209,304,64,1379,14,1305,2739,1356,6162,Diepsloot West
22541,122,22433,58,697,10836,48,11918,5142,933,1832,203,55,1841,31,1557,3091,1366,5158,Diepsloot West 1
24986,109,24930,28,521,11873,26,13373,5788,1005,2032,253,47,2260,11,1798,3250,1511,5227,Diepsloot West 2
3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Diepsloot West 4
11055,46,11014,26,254,5042,13,6087,3018,401,858,101,14,1326,11,950,1090,544,2250,Diepsloot West 5
4939,16,4931,0,95,2367,6,2603,1112,196,497,57,12,443,5,301,452,329,962,Diepsloot West 7
5236,8,5230,4,54,2756,0,3068,1160,333,571,36,12,533,0,505,889,264,1227,Diepsloot West 9
7723,39,7715,1,428,3532,5,4408,1931,269,490,60,45,715,22,1236,660,455,1269,Diepsloot West Ext. 6 Business S
23533,81,23501,13,292,9909,17,13728,7556,820,1106,213,76,2888,14,5064,1028,1239,2311,Diepsloot West Reception
2636,19,2621,5,95,1383,8,1286,402,115,282,23,5,224,5,96,238,139,867,Tanganani
6119,57,6100,14,32,3120,3,3003,113,2007,284,69,162,77,4,279,60,361,2580,Drie Ziek Ext 1
1179,3,1174,0,16,581,3,605,47,347,90,6,13,21,1,50,25,36,515,Drie Ziek Ext 2
12859,72,12823,21,123,6382,13,6515,420,3310,453,115,111,217,1,1160,210,1004,5519,Drie Ziek Ext 3
7366,73,7344,17,164,3785,3,3657,218,2069,246,74,56,134,59,458,58,700,3149,Drie Ziek Ext 4
5860,22,5833,22,82,2955,3,2918,127,1754,197,33,64,106,12,423,75,633,2298,Drie Ziek Ext 5
863,14,861,0,25,449,0,412,21,216,39,6,5,2,0,74,8,54,394,Drie Ziek Ext 6
1240,5,1231,7,59,606,0,636,31,271,43,7,4,9,0,55,5,179,567,Drie Ziek Ext 7
2278,18,2262,13,113,1110,1,1170,495,127,146,25,13,82,4,277,175,201,540,Ebony Park Ext 1
2818,35,2791,20,64,1395,5,1436,753,162,152,63,6,104,1,217,114,182,873,Ebony Park Ext 2
3420,69,3386,31,245,1657,1,1788,908,168,187,73,22,72,3,240,212,272,881,Ebony Park Ext 3
1374,5,1371,1,21,709,0,664,499,71,158,19,1,56,1,111,67,63,250,Ebony Park Ext 4
2108,30,2076,26,257,1043,4,1063,640,121,180,17,3,37,0,100,81,139,446,Ebony Park Ext 5
2903,28,2872,24,67,1475,5,1426,804,236,271,59,15,89,0,183,97,188,784,Ebony Park Ext 6
7334,36,7307,21,141,3654,4,3719,2570,512,679,112,26,371,5,580,238,471,1431,Ebony Park SP
5434,2391,939,4428,2386,2923,65,2630,40,178,77,3,22,49,8,28,25,56,287,Ennerdale Ext 1
1448,492,576,845,427,735,25,711,23,143,52,0,2,15,1,8,7,44,234,Ennerdale Ext 10 & 11
2345,678,1001,1328,733,1208,14,1142,68,238,118,2,11,33,1,33,3,90,321,"Ennerdale Ext 12, 13 & 14"
6746,2093,2326,4352,2732,3556,66,3305,75,452,264,9,41,34,9,115,57,107,824,Ennerdale Ext 2
2876,882,492,2322,1592,1526,60,1375,27,81,63,0,6,7,0,37,6,49,130,Ennerdale Ext 3
1155,709,222,928,191,561,3,595,2,14,11,0,3,0,3,0,2,8,16,Ennerdale Ext 6
7006,2095,4692,2257,842,3586,55,3455,172,882,500,36,60,102,5,196,60,358,1661,Ennerdale Ext 8
2984,740,1101,1867,1384,1557,14,1438,61,245,94,4,15,25,0,19,15,73,286,Ennerdale Ext 9
16943,204,16830,99,325,8310,12,8675,769,4741,1066,128,94,1210,16,1962,151,2019,4168,Ennerdale South
16009,200,15869,95,370,7715,43,8376,679,3949,1412,191,175,411,10,1354,223,2546,3829,Finetown
410,55,362,43,10,202,3,223,35,79,25,0,7,7,1,27,13,105,63,Hopefield Informal
1075,76,1006,67,78,558,0,518,33,219,36,10,24,16,3,83,23,199,253,Kapok Informal
6862,3393,1793,5005,2128,3508,62,3426,70,300,141,38,42,41,22,55,46,133,492,Mid-Ennerdale
452,121,442,6,479,470,2,581,58,13,45,6,0,18,590,21,44,24,74,Farmall AH
5118,49,5098,17,258,2272,1,2972,1157,387,691,54,15,792,27,373,419,223,600,Itsoseng SP
23151,71,23100,37,397,10571,12,12667,5828,1028,528,608,62,660,19,5768,853,1296,4759,Ivory Park Ext 10
19796,106,19695,56,331,9111,43,10957,5578,720,395,495,39,523,14,5490,634,1364,3337,Ivory Park Ext 12
11229,35,11189,12,257,5231,26,6040,2501,472,361,286,22,243,9,2805,393,939,2089,Ivory Park Ext 13
32979,173,32866,67,718,15091,44,18178,7209,1408,977,383,151,1290,14,4208,3315,3766,7841,Ivory Park Ext 2
12162,47,12114,33,266,5593,13,6593,2398,579,347,174,75,417,10,2244,1156,704,3400,Ivory Park Ext 5
11416,35,11374,6,178,5321,34,6256,2277,553,306,186,30,355,8,2136,717,570,3563,Ivory Park Ext 6
15887,57,15845,19,177,7544,21,8406,3677,846,540,336,37,537,10,3336,665,1238,3663,Ivory Park Ext 7
27087,79,26992,58,364,12756,35,14884,6108,1378,621,769,59,628,41,8185,977,1595,5539,Ivory Park Ext 8
